year,sockeye,coho,pink,chum,area
1923,1090117.00,77554.00,928510.00,38653.00,kodiak
1924,1407525.00,120686.00,5435091.00,117883.00,kodiak
1925,1693057.00,92960.00,2673675.00,212492.00,kodiak
1926,3015366.00,174475.00,4606694.00,324706.00,kodiak
1927,1155202.00,151548.00,5297305.00,417956.00,kodiak
1928,1592003.00,290645.00,1535313.00,726480.00,kodiak
1929,712126.00,144226.00,6108402.00,1057662.00,kodiak
1930,466409.00,228800.00,1651398.00,419011.00,kodiak
1931,1183074.00,170075.00,6839906.00,183737.00,kodiak
1932,1058446.00,52192.00,4719939.00,237023.00,kodiak
1933,1428373.00,91428.00,6573660.00,536935.00,kodiak
1934,1828953.00,89588.00,7641891.00,661341.00,kodiak
1935,1613519.00,76849.00,10780612.00,381753.00,kodiak
1936,2657195.00,183903.00,5647726.00,328218.00,kodiak
1937,1881304.00,164902.00,16787150.00,346238.00,kodiak
1938,1965943.00,154959.00,8397981.00,640119.00,kodiak
1939,1786445.00,112171.00,11741218.00,641693.00,kodiak
1940,1318233.00,148016.00,9997899.00,673265.00,kodiak
1941,1730201.00,199515.00,7601531.00,444521.00,kodiak
1942,1281529.00,106865.00,6092526.00,564924.00,kodiak
1943,1990557.00,59661.00,12479608.00,454205.00,kodiak
1944,1817875.00,51675.00,4955354.00,506703.00,kodiak
1945,2041090.00,60122.00,9044544.00,559332.00,kodiak
1946,838863.00,56425.00,9545871.00,298486.00,kodiak
1947,993394.00,76230.00,8856666.00,294518.00,kodiak
1948,1260465.00,32364.00,5968487.00,330795.00,kodiak
1949,892336.00,53737.00,4927779.00,699548.00,kodiak
1950,920885.00,40653.00,5304701.00,685109.00,kodiak
1951,467875.00,48792.00,2100377.00,483057.00,kodiak
1952,603677.00,51567.00,4576726.00,1243227.00,kodiak
1953,317150.00,41681.00,5174645.00,547574.00,kodiak
1954,325157.00,66430.00,8439231.00,1250833.00,kodiak
1955,164482.00,34582.00,10794164.00,482425.00,kodiak
1956,271249.00,52844.00,3318841.00,705047.00,kodiak
1957,234253.00,34995.00,4716482.00,1208472.00,kodiak
1958,288014.00,20555.00,4038938.00,930698.00,kodiak
1959,330087.00,14512.00,1967058.00,733784.00,kodiak
